// yafu will interpolate between entries in the table.
// inputs above or below the table limit will use the
// last or first entry in the table.
// These values were provided by Gimarel
// see: https://www.mersenneforum.org/node/1069536?p=1071174#post1071174 
// There needs to be 12 entries per line, as follows:
// base-10 digits, rlim, alim, lpbr, lpba, mfbr, mfba, rlambda, alambda, siever, startq, qrange, minrels
    91,  350000, 840000,   25,   25,   50,   50,   2.400,   2.400,     12,   210000,  2000,   1460000  
    92,  375000, 900000,   25,   25,   50,   50,   2.400,   2.400,     12,   225000,  2000,   1510000  
    93,  400000, 960000,   25,   25,   50,   50,   2.400,   2.400,     12,   240000,  2000,   1560000  
    94,  430000, 1080000,  25,   25,   50,   50,   2.400,   2.400,     12,   270000,  2000,   1670000  
    95,  470000, 1200000,  25,   25,   50,   50,   2.400,   2.400,     12,   300000,  2000,   1780000  
    96,  500000, 1360000,  26,   26,   52,   52,   2.423,   2.423,     12,   340000,  2000,   1890000  
    97,  530000, 1440000,  26,   26,   52,   52,   2.423,   2.423,     12,   360000,  2000,   2190000  
    98,  560000, 1520000,  26,   26,   52,   52,   2.423,   2.423,     12,   380000,  2000,   2490000  
    99,  590000, 1620000,  26,   26,   52,   52,   2.423,   2.423,     12,   405000,  2000,   2790000  
   100,  620000, 1720000,  26,   26,   52,   52,   2.423,   2.423,     12,   430000,  2000,   3090000  
   101,  650000, 1680000,  27,   27,   54,   54,   2.407,   2.407,     12,   420000,  2000,   4400000  
   102,  650000, 1780000,  27,   27,   54,   54,   2.407,   2.407,     12,   445000,  2000,   4600000  
   103,  650000, 1880000,  27,   27,   54,   54,   2.407,   2.407,     12,   470000,  2000,   4800000  
   104,  650000, 1980000,  27,   27,   54,   54,   2.407,   2.407,     12,   495000,  2000,   5000000  
   105,  650000, 2080000,  27,   27,   54,   54,   2.407,   2.407,     12,   520000,  2000,   5250000  
   106,  700000, 2000000,  29,   29,   58,   58,   2.500,   2.500,     12,   500000,  5000,   9200000  
   107,  700000, 2000000,  29,   29,   58,   58,   2.500,   2.500,     12,   500000,  5000,   9600000  
   108,  700000, 2000000,  29,   29,   58,   58,   2.500,   2.500,     12,   500000,  5000,  10000000  
