// yafu will interpolate between entries in the table.
// inputs above or below the table limit will use the
// last or first entry in the table.
// These values are derived from best CADO parameters;
// see: https://www.mersenneforum.org/node/1069536 for more info.
// There needs to be 12 entries per line, as follows:
// base-10 digits, rlim, alim, lpbr, lpba, mfbr, mfba, rlambda, alambda, siever, startq, qrange
75,  300000,   200000,   25, 26, 48, 50, 2.2, 2.3, 11,  150000,    1000  
80,  600000,   400000,   25, 26, 48, 50, 2.2, 2.3, 11,  300000,    1000  
85,  900000,   600000,   25, 26, 48, 50, 2.2, 2.3, 11,  450000,    1000 
90,  1200000,  800000,  25, 26, 48, 50, 2.2, 2.3, 11,   600000,   2000 
95,  1500000,  1000000,  25, 26, 48, 50, 2.2, 2.3, 11,  750000,   2000 
100, 1800000,  1200000,  25, 26, 48, 50, 2.2, 2.3, 11,  900000,   2000 	// comments allowed after lines
105, 2500000,  1670000,  25, 26, 48, 50, 2.2, 2.3, 12,  1250000,   2000 
107, 2700000,  1800000,  25, 26, 48, 50, 2.2, 2.3, 12,  1350000,   2000
108, 2800000,  1870000,  26, 27, 50, 52, 2.3, 2.4, 12,  1400000,   2000
110, 3200000,  2130000,  26, 27, 50, 52, 2.3, 2.4, 12,  1600000,   4000 
115, 4500000,  3000000,  26, 27, 50, 52, 2.3, 2.4, 12,  2250000,   4000 
116, 4600000,  3060000,  27, 28, 52, 54, 2.4, 2.5, 12,  2300000,   4000 
120, 5500000,  3670000,  27, 28, 52, 54, 2.4, 2.5, 12,  2750000,   4000 
123, 6500000,  4330000,  27, 28, 52, 54, 2.4, 2.5, 13,  3250000,   4000 
124, 7000000,  4670000,  28, 29, 54, 56, 2.5, 2.6, 13,  3500000,   4000 
130, 9000000,  6000000,  28, 29, 54, 56, 2.5, 2.6, 13,  4500000,   8000 
132, 10000000, 6670000, 28, 29, 54, 56, 2.5, 2.6, 13,   5000000,  8000 
133, 10500000, 7000000, 29, 30, 56, 58, 2.6, 2.6, 13,   5250000,  8000 
135, 11500000, 7670000, 29, 30, 56, 58, 2.6, 2.65, 13,  5750000,  8000 
138, 12500000, 8330000, 29, 30, 56, 58, 2.6, 2.65, 13,  6250000,  8000 
139, 14000000, 9330000, 30, 30, 58, 58, 2.6, 2.65, 13,  7000000,  8000 
145, 19000000, 12600000, 30, 30, 58, 58, 2.6, 2.65, 14, 9500000,  8000 
147, 20000000, 13300000, 30, 30, 58, 58, 2.6, 2.65, 14, 10000000,  8000 
148, 21000000, 14000000, 31, 31, 60, 60, 2.6, 2.65, 14, 10500000,  16000
150, 25000000, 25000000, 31, 31, 60, 60, 2.6, 2.65, 14, 12500000,  16000
155, 32000000, 16700000, 31, 31, 60, 60, 2.6, 2.65, 14, 16000000,  16000
160, 40000000, 26700000, 31, 31, 60, 90, 2.6, 2.65, 14, 20000000,  16000
164, 49000000, 49000000, 31, 31, 60, 90, 2.6, 2.65, 14, 24500000,  16000
165, 50000000, 32700000, 31, 32, 60, 93, 2.65, 2.7, 14, 25000000,  16000
171, 59000000, 39300000, 31, 32, 60, 93, 2.65, 2.7, 14, 29500000,  32000
172, 60000000, 40000000, 32, 32, 62, 93, 2.65, 2.7, 14, 30000000,  32000
175, 70000000, 46700000, 32, 32, 62, 93, 2.65, 2.7, 15, 35000000,  32000
178, 75000000, 50000000, 32, 32, 62, 93, 2.65, 2.7, 15, 37500000,  32000
179, 78000000, 52000000, 32, 33, 62, 96, 2.65, 2.7, 15, 39000000,  32000
185, 90000000, 60000000, 32, 33, 62, 96, 2.65, 2.7, 15, 45000000,  32000
186, 100000000, 66700000, 33, 33, 64, 96, 2.65, 2.7, 15, 500000000, 32000  
